date,batter,pitcher,bvp_pa,bvp_avg,fd_pts,baseline,rel,bucket
2026-05-21,543807,607074,34,0.179,21.7,7.02,14.68,BAD
2026-05-28,543807,605135,20,0.25,9.2,8.4,0.8,MID
2026-05-31,665489,680694,28,0.25,0.0,9.91,-9.91,MID
2026-06-04,665489,519242,17,0.286,18.4,9.53,8.87,MID
2026-06-04,543807,519242,31,0.259,9.0,8.06,0.94,MID
2026-06-06,665489,680694,28,0.25,6.2,9.58,-3.38,MID
2026-06-06,543807,680694,22,0.4,6.0,8.2,-2.2,GOOD
2026-06-07,665489,669358,18,0.278,0.0,9.53,-9.53,MID
2026-06-07,543807,669358,15,0.067,0.0,8.14,-8.14,BAD
2026-06-08,665489,650911,15,0.231,0.0,9.36,-9.36,MID
2026-06-08,543807,650911,15,0.077,0.0,7.94,-7.94,BAD
2026-06-09,665489,554430,17,0.188,3.0,9.21,-6.21,BAD
2026-06-18,543807,543243,28,0.25,9.0,9.13,-0.13,MID
2026-06-18,665926,543243,23,0.227,3.5,7.6,-4.1,MID
2026-06-26,665489,543135,32,0.433,16.2,9.11,7.09,GOOD
2026-06-26,543807,543135,30,0.207,6.2,9.09,-2.89,MID
2026-06-29,543807,640455,47,0.31,12.2,9.04,3.16,GOOD
2026-07-03,662139,622491,16,0.067,0.0,9.12,-9.12,BAD
2026-07-03,665489,622491,21,0.278,9.5,8.93,0.57,MID
2026-07-03,665926,622491,23,0.25,15.7,7.21,8.49,MID
2026-07-04,665489,669302,20,0.333,0.0,8.94,-8.94,GOOD
2026-07-08,662139,657277,17,0.333,24.9,8.47,16.43,GOOD
2026-06-20,687263,669372,15,0.231,19.2,11.66,7.54,MID
2026-07-04,624585,543243,21,0.118,3.0,8.84,-5.84,BAD
2026-05-09,664983,605400,17,0.438,9.2,11.56,-2.36,GOOD
2026-05-16,696100,593958,17,0.063,6.0,11.1,-5.1,BAD
2026-05-21,696100,593958,17,0.063,0.0,10.17,-10.17,BAD
2026-05-23,671289,668678,15,0.231,6.0,7.53,-1.53,MID
2026-05-29,696100,657277,15,0.357,34.7,10.04,24.66,GOOD
2026-05-29,664983,657277,32,0.355,12.2,9.14,3.06,GOOD
2026-05-31,696100,592662,17,0.5,3.2,10.54,-7.34,GOOD
2026-05-31,671289,592662,15,0.308,24.2,7.34,16.86,GOOD
2026-06-26,650489,671737,17,0.118,3.0,9.87,-6.87,BAD
2026-07-03,696100,657277,15,0.357,15.4,12.18,3.22,GOOD
2026-07-03,664983,657277,32,0.355,63.4,11.35,52.05,GOOD
2026-07-03,666160,657277,17,0.375,12.2,10.93,1.27,GOOD
2026-07-04,696100,592662,17,0.5,15.2,12.22,2.98,GOOD
